T-in-K  	U-in-mV   dU-in-mV   P-in-Torr    dP-in-Torr
1.5	      345	        1             4            0.5
1.55	    329.7  	    1             5            0.5
1.61	    318.4  	    1             6            0.5
1.67	    300.2  	    1             8            0.5
1.73	    286.3  	    1             10           0.5
1.81	    267.9  	    1             13           0.5
1.88	    253.7  	    1             16           0.5
1.97	    235.3  	    1             21           0.5
2.06	    216.3  	    1             28           0.5
2.16	    199.2  	    1             36           0.5
2.27	    178.1  	    1             47           0.5
2.39	    160.9  	    1             61           0.5
2.53	    137.5  	    1             81           0.5
2.68	    128.0       1             104          0.5
2.85	    111.9	      1             143          0.5
3.05	    93.1	      1             194          0.5
3.27	    77.7	      2             264          0.5
3.53	    62.6	      2             366          5
3.67	    53.3	      2             440          5
3.84      44.7	      2             519          5
3.98	    38.7	      2             600          5
4.2	      30.7	      2             744          5
